Size of Adjusted Gross Income,Zip, Taxable Income ,Number of Returns
"$200,000 or more",12953," 15,395 ", 51 
,,,
,12956," 11,408 ", 529 
"Under $10,000",12956, -   , 96 
"$10,000 under $25,000",12956, 546 , 128 
"$25,000 under $50,000",12956," 3,321 ", 159 
"$50,000 under $75,000",12956," 3,880 ", 96 
"$75,000 under $100,000",12956," 2,102 ", 33 
"$100,000 under $200,000",12956," 1,559 ", 17 
"$200,000 or more",12956, . , . 
,,,
,12957," 14,118 ", 735 
"Under $10,000",12957, 28 , 147 
"$10,000 under $25,000",12957, 923 , 240 
"$25,000 under $50,000",12957," 3,239 ", 168 
"$50,000 under $75,000",12957," 4,046 ", 103 
"$75,000 under $100,000",12957," 3,461 ", 53 
"$100,000 under $200,000",12957," 2,422 ", 24 
"$200,000 or more",12957, . , * 
,,,
,12958," 22,792 ", 912 
"Under $10,000",12958, 30 , 172 
"$10,000 under $25,000",12958," 1,078 ", 188 
"$25,000 under $50,000",12958," 5,379 ", 261 
"$50,000 under $75,000",12958," 6,622 ", 163 
"$75,000 under $100,000",12958," 5,107 ", 82 
"$100,000 under $200,000",12958," 4,575 ", 46 
"$200,000 or more",12958, . , * 
,,,
,12959," 15,412 ", 639 
"Under $10,000",12959, 16 , 116 
"$10,000 under $25,000",12959, 714 , 151 
"$25,000 under $50,000",12959," 3,856 ", 185 
"$50,000 under $75,000",12959," 3,984 ", 97 
"$75,000 under $100,000",12959," 3,282 ", 52 
"$100,000 under $200,000",12959," 3,561 ", 38 
"$200,000 or more",12959, . , * 
,,,
,12960," 12,737 ", 502 
"Under $10,000",12960, 19 , 90 
"$10,000 under $25,000",12960, 485 , 108 
"$25,000 under $50,000",12960," 2,633 ", 134 
"$50,000 under $75,000",12960," 3,267 ", 82 
"$75,000 under $100,000",12960," 2,952 ", 51 
"$100,000 under $200,000",12960," 3,382 ", 37 
"$200,000 or more",12960, . , . 
,,,
,12962," 90,557 "," 2,654 "
"Under $10,000",12962, 137 , 429 
"$10,000 under $25,000",12962," 2,638 ", 515 
"$25,000 under $50,000",12962," 12,862 ", 617 
"$50,000 under $75,000",12962," 17,880 ", 437 
"$75,000 under $100,000",12962," 17,636 ", 288 
"$100,000 under $200,000",12962," 31,693 ", 337 
"$200,000 or more",12962," 7,710 ", 31 
,,,
,12966," 24,924 "," 1,220 "
"Under $10,000",12966, 54 , 229 
"$10,000 under $25,000",12966," 1,614 ", 353 
"$25,000 under $50,000",12966," 5,908 ", 308 
"$50,000 under $75,000",12966," 7,809 ", 202 
"$75,000 under $100,000",12966," 5,190 ", 84 
"$100,000 under $200,000",12966," 4,349 ", 44 
"$200,000 or more",12966, . , * 
,,,
,12967," 9,124 ", 482 
"Under $10,000",12967, -   , 100 
"$10,000 under $25,000",12967, 533 , 133 
"$25,000 under $50,000",12967," 2,253 ", 132 
"$50,000 under $75,000",12967," 2,989 ", 72 
"$75,000 under $100,000",12967," 1,610 ", 26 
"$100,000 under $200,000",12967," 1,739 ", 19 
"$200,000 or more",12967, . , * 
,,,
,12972," 98,524 "," 3,005 "
"Under $10,000",12972, 159 , 507 
"$10,000 under $25,000",12972," 3,316 ", 623 
"$25,000 under $50,000",12972," 12,865 ", 657 
"$50,000 under $75,000",12972," 19,224 ", 476 
"$75,000 under $100,000",12972," 21,855 ", 363 
"$100,000 under $200,000",12972," 32,368 ", 341 
"$200,000 or more",12972," 8,736 ", 38 
,,,
,12974," 15,854 ", 736 
"Under $10,000",12974, 15 , 161 
"$10,000 under $25,000",12974, 983 , 186 
"$25,000 under $50,000",12974," 3,643 ", 178 
"$50,000 under $75,000",12974," 4,812 ", 120 
"$75,000 under $100,000",12974," 3,787 ", 62 
"$100,000 under $200,000",12974," 2,614 ", 29 
"$200,000 or more",12974, . , . 
,,,
,12979," 38,569 "," 1,224 "
"Under $10,000",12979, 56 , 230 
"$10,000 under $25,000",12979," 1,346 ", 249 
"$25,000 under $50,000",12979," 6,461 ", 297 
"$50,000 under $75,000",12979," 7,760 ", 182 
"$75,000 under $100,000",12979," 8,574 ", 136 
"$100,000 under $200,000",12979," 14,373 ", 130 
"$200,000 or more",12979, . , * 
,,,
,12980," 12,120 ", 600 
"Under $10,000",12980, 25 , 127 
"$10,000 under $25,000",12980, 762 , 177 
"$25,000 under $50,000",12980," 2,931 ", 154 
"$50,000 under $75,000",12980," 2,710 ", 66 
"$75,000 under $100,000",12980," 2,598 ", 44 
"$100,000 under $200,000",12980," 3,093 ", 32 
"$200,000 or more",12980, . , * 
,,,
,12981," 31,388 "," 1,105 "
"Under $10,000",12981, 68 , 183 
"$10,000 under $25,000",12981," 1,321 ", 252 
"$25,000 under $50,000",12981," 5,521 ", 268 
"$50,000 under $75,000",12981," 8,011 ", 198 
"$75,000 under $100,000",12981," 6,739 ", 110 
"$100,000 under $200,000",12981," 9,727 ", 94 
"$200,000 or more",12981, . , * 
,,,
,12983," 105,672 "," 3,696 "
"Under $10,000",12983, 180 , 748 
"$10,000 under $25,000",12983," 4,641 ", 839 
"$25,000 under $50,000",12983," 20,488 ", 960 
"$50,000 under $75,000",12983," 21,216 ", 517 
"$75,000 under $100,000",12983," 17,392 ", 285 
"$100,000 under $200,000",12983," 27,925 ", 295 
"$200,000 or more",12983," 13,830 ", 52 
,,,
,12985," 12,332 ", 529 
"Under $10,000",12985, 28 , 94 
"$10,000 under $25,000",12985, 748 , 147 
"$25,000 under $50,000",12985," 2,762 ", 140 
"$50,000 under $75,000",12985," 3,125 ", 73 
"$75,000 under $100,000",12985," 2,657 ", 44 
"$100,000 under $200,000",12985," 3,011 ", 31 
"$200,000 or more",12985, . , * 
,,,
,12986," 83,924 "," 2,832 "
"Under $10,000",12986, 118 , 508 
"$10,000 under $25,000",12986," 2,910 ", 553 
"$25,000 under $50,000",12986," 18,583 ", 821 
"$50,000 under $75,000",12986," 19,847 ", 478 
"$75,000 under $100,000",12986," 15,625 ", 251 
"$100,000 under $200,000",12986," 19,119 ", 201 
"$200,000 or more",12986," 7,722 ", 20 
,,,
,12989," 14,604 ", 457 
"Under $10,000",12989, 26 , 91 
"$10,000 under $25,000",12989, 529 , 90 
"$25,000 under $50,000",12989," 2,171 ", 111 
"$50,000 under $75,000",12989," 3,039 ", 72 
"$75,000 under $100,000",12989," 3,459 ", 56 
"$100,000 under $200,000",12989," 5,380 ", 37 
"$200,000 or more",12989, . , * 
,,,
,12992," 57,920 "," 2,313 "
"Under $10,000",12992, 95 , 425 
"$10,000 under $25,000",12992," 2,785 ", 552 
"$25,000 under $50,000",12992," 11,977 ", 596 
"$50,000 under $75,000",12992," 15,269 ", 379 
"$75,000 under $100,000",12992," 12,469 ", 201 
"$100,000 under $200,000",12992," 15,324 ", 160 
"$200,000 or more",12992, . , * 
,,,
,12993," 22,274 ", 792 
"Under $10,000",12993, 28 , 185 
"$10,000 under $25,000",12993, 724 , 159 
"$25,000 under $50,000",12993," 3,609 ", 183 
"$50,000 under $75,000",12993," 4,925 ", 125 
"$75,000 under $100,000",12993," 3,769 ", 62 
"$100,000 under $200,000",12993," 6,375 ", 66 
"$200,000 or more",12993," 2,843 ", 12 
,,,
,12996," 24,867 ", 968 
"Under $10,000",12996, 37 , 203 
"$10,000 under $25,000",12996," 1,210 ", 242 
"$25,000 under $50,000",12996," 4,603 ", 253 
"$50,000 under $75,000",12996," 5,725 ", 143 
"$75,000 under $100,000",12996," 4,153 ", 70 
"$100,000 under $200,000",12996," 4,294 ", 45 
"$200,000 or more",12996," 4,845 ", 12 
,,,
,12997," 13,253 ", 575 
"Under $10,000",12997, 22 , 131 
"$10,000 under $25,000",12997, 763 , 137 
"$25,000 under $50,000",12997," 2,804 ", 146 
"$50,000 under $75,000",12997," 3,372 ", 85 
"$75,000 under $100,000",12997," 2,659 ", 44 
"$100,000 under $200,000",12997," 3,632 ", 32 
"$200,000 or more",12997, . , * 
,,,
,13021," 547,419 "," 18,689 "
"Under $10,000",13021, 897 ," 3,789 "
"$10,000 under $25,000",13021," 23,812 "," 4,513 "
"$25,000 under $50,000",13021," 94,379 "," 4,540 "
"$50,000 under $75,000",13021," 106,673 "," 2,606 "
"$75,000 under $100,000",13021," 99,356 "," 1,619 "
"$100,000 under $200,000",13021," 136,088 "," 1,413 "
"$200,000 or more",13021," 86,213 ", 209 
,,,
,13026," 23,072 ", 632 
"Under $10,000",13026, 21 , 100 
"$10,000 under $25,000",13026, 655 , 126 
"$25,000 under $50,000",13026," 2,978 ", 142 
"$50,000 under $75,000",13026," 4,212 ", 108 
"$75,000 under $100,000",13026," 4,658 ", 74 
"$100,000 under $200,000",13026," 6,824 ", 68 
"$200,000 or more",13026," 3,725 ", 14 
,,,
,13027," 651,868 "," 15,658 "
"Under $10,000",13027, 736 ," 2,670 "
"$10,000 under $25,000",13027," 15,513 "," 2,738 "
"$25,000 under $50,000",13027," 69,985 "," 3,326 "
"$50,000 under $75,000",13027," 95,976 "," 2,372 "
"$75,000 under $100,000",13027," 104,127 "," 1,719 "
"$100,000 under $200,000",13027," 231,803 "," 2,386 "
"$200,000 or more",13027," 133,728 ", 447 
,,,
,13028," 13,810 ", 570 
"Under $10,000",13028, 41 , 120 
"$10,000 under $25,000",13028, 591 , 134 
"$25,000 under $50,000",13028," 2,335 ", 124 
"$50,000 under $75,000",13028," 4,546 ", 111 
"$75,000 under $100,000",13028," 2,440 ", 41 
"$100,000 under $200,000",13028," 3,857 ", 40 
"$200,000 or more",13028, . , * 
,,,
,13029," 137,385 "," 3,345 "
"Under $10,000",13029, 158 , 548 
"$10,000 under $25,000",13029," 3,269 ", 663 
"$25,000 under $50,000",13029," 14,451 ", 692 
"$50,000 under $75,000",13029," 19,201 ", 486 
"$75,000 under $100,000",13029," 25,166 ", 426 
"$100,000 under $200,000",13029," 43,581 ", 458 
"$200,000 or more",13029," 31,560 ", 72 
,,,
,13030," 60,053 "," 2,089 "
"Under $10,000",13030, 93 , 339 
"$10,000 under $25,000",13030," 2,613 ", 472 
"$25,000 under $50,000",13030," 11,559 ", 579 
"$50,000 under $75,000",13030," 13,026 ", 326 
"$75,000 under $100,000",13030," 11,428 ", 187 
"$100,000 under $200,000",13030," 15,601 ", 165 
"$200,000 or more",13030," 5,733 ", 21 
,,,
,13031," 326,642 "," 8,117 "
"Under $10,000",13031, 470 ," 1,432 "
"$10,000 under $25,000",13031," 8,162 "," 1,453 "
"$25,000 under $50,000",13031," 34,213 "," 1,635 "
"$50,000 under $75,000",13031," 55,228 "," 1,343 "
"$75,000 under $100,000",13031," 56,828 ", 939 
"$100,000 under $200,000",13031," 102,511 "," 1,079 "
"$200,000 or more",13031," 69,231 ", 236 
,,,
,13032," 161,118 "," 5,950 "
"Under $10,000",13032, 267 ," 1,148 "
"$10,000 under $25,000",13032," 7,479 "," 1,424 "
"$25,000 under $50,000",13032," 30,315 "," 1,505 "
"$50,000 under $75,000",13032," 35,058 ", 882 
"$75,000 under $100,000",13032," 31,498 ", 521 
"$100,000 under $200,000",13032," 39,027 ", 412 
"$200,000 or more",13032," 17,474 ", 58 
,,,
,13033," 45,026 "," 1,704 "
"Under $10,000",13033, 69 , 297 
"$10,000 under $25,000",13033," 1,893 ", 390 
"$25,000 under $50,000",13033," 8,384 ", 425 
"$50,000 under $75,000",13033," 10,876 ", 281 
"$75,000 under $100,000",13033," 10,840 ", 176 
"$100,000 under $200,000",13033," 12,964 ", 135 
"$200,000 or more",13033, . , * 
,,,
,13034," 25,920 ", 834 
"Under $10,000",13034, 55 , 131 
"$10,000 under $25,000",13034, 805 , 170 
"$25,000 under $50,000",13034," 4,526 ", 226 
"$50,000 under $75,000",13034," 4,724 ", 119 
"$75,000 under $100,000",13034," 5,968 ", 95 
"$100,000 under $200,000",13034," 9,842 ", 93 
"$200,000 or more",13034, . , * 
,,,
,13035," 240,257 "," 3,703 "
"Under $10,000",13035, 284 , 747 
"$10,000 under $25,000",13035," 3,376 ", 566 
"$25,000 under $50,000",13035," 12,450 ", 623 
"$50,000 under $75,000",13035," 19,085 ", 482 
"$75,000 under $100,000",13035," 25,713 ", 435 
"$100,000 under $200,000",13035," 56,828 ", 581 
"$200,000 or more",13035," 122,521 ", 269 
,,,
,13036," 114,284 "," 4,146 "
"Under $10,000",13036, 181 , 756 
"$10,000 under $25,000",13036," 4,709 ", 924 
"$25,000 under $50,000",13036," 22,604 "," 1,096 "
"$50,000 under $75,000",13036," 25,084 ", 630 
"$75,000 under $100,000",13036," 21,367 ", 353 
"$100,000 under $200,000",13036," 33,467 ", 362 
"$200,000 or more",13036," 6,873 ", 25 
,,,
,13037," 136,767 "," 4,286 "
"Under $10,000",13037, 218 , 786 
"$10,000 under $25,000",13037," 4,635 ", 874 
"$25,000 under $50,000",13037," 20,618 "," 1,019 "
"$50,000 under $75,000",13037," 24,981 ", 634 
"$75,000 under $100,000",13037," 26,608 ", 449 
"$100,000 under $200,000",13037," 43,472 ", 464 
"$200,000 or more",13037," 16,235 ", 60 
,,,
,13039," 348,610 "," 8,376 "
"Under $10,000",13039, 509 ," 1,417 "
"$10,000 under $25,000",13039," 7,228 "," 1,289 "
"$25,000 under $50,000",13039," 34,227 "," 1,610 "
"$50,000 under $75,000",13039," 53,875 "," 1,349 "
"$75,000 under $100,000",13039," 62,154 "," 1,043 "
"$100,000 under $200,000",13039," 143,964 "," 1,504 "
"$200,000 or more",13039," 46,652 ", 164 
,,,
,13040," 26,616 "," 1,221 "
"Under $10,000",13040, 43 , 230 
"$10,000 under $25,000",13040," 1,562 ", 329 
"$25,000 under $50,000",13040," 5,614 ", 306 
"$50,000 under $75,000",13040," 7,562 ", 193 
"$75,000 under $100,000",13040," 6,414 ", 108 
"$100,000 under $200,000",13040," 5,421 ", 55 
"$200,000 or more",13040, . , * 
,,,
,13041," 179,920 "," 5,099 "
"Under $10,000",13041, 301 , 784 
"$10,000 under $25,000",13041," 4,730 ", 830 
"$25,000 under $50,000",13041," 22,851 "," 1,107 "
"$50,000 under $75,000",13041," 40,981 "," 1,023 "
"$75,000 under $100,000",13041," 41,860 ", 697 
"$100,000 under $200,000",13041," 58,290 ", 624 
"$200,000 or more",13041," 10,908 ", 34 
,,,
,13042," 26,380 "," 1,026 "
"Under $10,000",13042, 30 , 182 
"$10,000 under $25,000",13042," 1,181 ", 230 
"$25,000 under $50,000",13042," 5,247 ", 280 
"$50,000 under $75,000",13042," 6,931 ", 173 
"$75,000 under $100,000",13042," 5,758 ", 95 
"$100,000 under $200,000",13042," 7,233 ", 66 
"$200,000 or more",13042, . , * 
,,,
,13044," 37,823 "," 1,250 "
"Under $10,000",13044, 55 , 224 
"$10,000 under $25,000",13044," 1,421 ", 268 
"$25,000 under $50,000",13044," 6,033 ", 307 
"$50,000 under $75,000",13044," 8,196 ", 206 
"$75,000 under $100,000",13044," 7,859 ", 129 
"$100,000 under $200,000",13044," 9,795 ", 101 
"$200,000 or more",13044," 4,464 ", 15 
,,,
,13045," 322,826 "," 11,579 "
"Under $10,000",13045, 559 ," 2,385 "
"$10,000 under $25,000",13045," 15,710 "," 2,863 "
"$25,000 under $50,000",13045," 58,664 "," 2,842 "
"$50,000 under $75,000",13045," 64,436 "," 1,577 "
"$75,000 under $100,000",13045," 56,946 ", 922 
"$100,000 under $200,000",13045," 84,651 ", 876 
"$200,000 or more",13045," 41,860 ", 114 
,,,
,13052," 21,608 ", 881 
"Under $10,000",13052, 29 , 164 
"$10,000 under $25,000",13052, 997 , 205 
"$25,000 under $50,000",13052," 4,802 ", 252 
"$50,000 under $75,000",13052," 5,205 ", 129 
"$75,000 under $100,000",13052," 5,126 ", 82 
"$100,000 under $200,000",13052," 5,449 ", 49 
"$200,000 or more",13052, . , * 
,,,
,13053," 71,226 "," 2,202 "
"Under $10,000",13053, 143 , 471 
"$10,000 under $25,000",13053," 2,244 ", 398 
"$25,000 under $50,000",13053," 10,713 ", 509 
"$50,000 under $75,000",13053," 13,314 ", 333 
"$75,000 under $100,000",13053," 12,796 ", 210 
"$100,000 under $200,000",13053," 24,418 ", 254 
"$200,000 or more",13053," 7,599 ", 27 
,,,
,13054," 18,262 ", 744 
"Under $10,000",13054, 34 , 130 
"$10,000 under $25,000",13054, 957 , 173 
"$25,000 under $50,000",13054," 4,606 ", 233 
"$50,000 under $75,000",13054," 4,379 ", 110 
"$75,000 under $100,000",13054," 3,481 ", 56 
"$100,000 under $200,000",13054," 4,805 ", 42 
"$200,000 or more",13054, . , * 
,,,
,13057," 243,212 "," 8,001 "
"Under $10,000",13057, 367 ," 1,422 "
"$10,000 under $25,000",13057," 9,418 "," 1,764 "
"$25,000 under $50,000",13057," 43,025 "," 2,063 "
"$50,000 under $75,000",13057," 49,788 "," 1,209 "
"$75,000 under $100,000",13057," 43,648 ", 706 
"$100,000 under $200,000",13057," 72,830 ", 756 
"$200,000 or more",13057," 24,137 ", 81 
,,,
,13060," 43,307 "," 1,484 "
"Under $10,000",13060, 73 , 285 
"$10,000 under $25,000",13060," 1,723 ", 333 
"$25,000 under $50,000",13060," 7,499 ", 367 
"$50,000 under $75,000",13060," 8,727 ", 217 
"$75,000 under $100,000",13060," 9,523 ", 156 
"$100,000 under $200,000",13060," 10,479 ", 109 
"$200,000 or more",13060," 5,282 ", 17 
,,,
,13061," 15,523 ", 533 
"Under $10,000",13061, 27 , 100 
"$10,000 under $25,000",13061, 532 , 96 
"$25,000 under $50,000",13061," 2,818 ", 141 
"$50,000 under $75,000",13061," 3,242 ", 85 
"$75,000 under $100,000",13061," 3,428 ", 57 
"$100,000 under $200,000",13061," 5,476 ", 54 
"$200,000 or more",13061, . , * 
,,,
,13063," 31,589 ", 889 
"Under $10,000",13063, 70 , 161 
"$10,000 under $25,000",13063," 1,031 ", 165 
"$25,000 under $50,000",13063," 3,467 ", 184 
"$50,000 under $75,000",13063," 4,820 ", 124 
"$75,000 under $100,000",13063," 6,994 ", 118 
"$100,000 under $200,000",13063," 11,779 ", 121 
"$200,000 or more",13063," 3,428 ", 16 
,,,
,13066," 526,382 "," 6,558 "
"Under $10,000",13066, 552 ," 1,248 "
"$10,000 under $25,000",13066," 4,801 ", 826 
"$25,000 under $50,000",13066," 23,238 "," 1,110 "
"$50,000 under $75,000",13066," 33,803 ", 843 
"$75,000 under $100,000",13066," 40,431 ", 682 
"$100,000 under $200,000",13066," 117,234 "," 1,185 "
"$200,000 or more",13066," 306,323 ", 664 
,,,
,13068," 77,417 "," 2,475 "
"Under $10,000",13068, 106 , 422 
"$10,000 under $25,000",13068," 3,061 ", 533 
"$25,000 under $50,000",13068," 13,163 ", 631 
"$50,000 under $75,000",13068," 15,723 ", 387 
"$75,000 under $100,000",13068," 15,045 ", 243 
"$100,000 under $200,000",13068," 22,743 ", 233 
"$200,000 or more",13068," 7,576 ", 26 
,,,
,13069," 276,413 "," 11,158 "
"Under $10,000",13069, 495 ," 2,222 "
"$10,000 under $25,000",13069," 13,560 "," 2,851 "
"$25,000 under $50,000",13069," 56,661 "," 2,877 "
"$50,000 under $75,000",13069," 64,363 "," 1,597 "
"$75,000 under $100,000",13069," 52,393 ", 853 
"$100,000 under $200,000",13069," 68,995 ", 699 
"$200,000 or more",13069," 19,947 ", 59 
,,,
,13071," 12,606 ", 505 
"Under $10,000",13071, 22 , 109 
"$10,000 under $25,000",13071, 541 , 111 
"$25,000 under $50,000",13071," 2,842 ", 135 
"$50,000 under $75,000",13071," 3,089 ", 73 
"$75,000 under $100,000",13071," 2,858 ", 47 
"$100,000 under $200,000",13071," 3,254 ", 30 
"$200,000 or more",13071, . , * 
,,,
,13072," 7,129 ", 354 
"Under $10,000",13072, 15 , 70 
"$10,000 under $25,000",13072, 476 , 102 
"$25,000 under $50,000",13072," 1,865 ", 97 
"$50,000 under $75,000",13072," 1,866 ", 48 
"$75,000 under $100,000",13072," 1,272 ", 21 
"$100,000 under $200,000",13072," 1,635 ", 16 
"$200,000 or more",13072, . , . 
,,,
,13073," 85,737 "," 2,990 "
"Under $10,000",13073, 119 , 530 
"$10,000 under $25,000",13073," 3,527 ", 653 
"$25,000 under $50,000",13073," 15,798 ", 761 
"$50,000 under $75,000",13073," 19,758 ", 490 
"$75,000 under $100,000",13073," 18,555 ", 299 
"$100,000 under $200,000",13073," 22,472 ", 239 
"$200,000 or more",13073," 5,508 ", 18 
,,,
,13074," 43,902 "," 1,916 "
"Under $10,000",13074, 76 , 384 
"$10,000 under $25,000",13074," 2,291 ", 487 
"$25,000 under $50,000",13074," 9,063 ", 486 
"$50,000 under $75,000",13074," 11,467 ", 281 
"$75,000 under $100,000",13074," 10,842 ", 176 
"$100,000 under $200,000",13074," 10,163 ", 102 
"$200,000 or more",13074, . , * 
,,,
,13076," 29,916 "," 1,072 "
"Under $10,000",13076, 59 , 188 
"$10,000 under $25,000",13076," 1,057 ", 230 
"$25,000 under $50,000",13076," 5,382 ", 272 
"$50,000 under $75,000",13076," 6,510 ", 167 
"$75,000 under $100,000",13076," 6,663 ", 110 
"$100,000 under $200,000",13076," 10,245 ", 105 
"$200,000 or more",13076, . , * 
,,,
,13077," 103,617 "," 3,187 "
"Under $10,000",13077, 159 , 576 
"$10,000 under $25,000",13077," 3,793 ", 693 
"$25,000 under $50,000",13077," 16,619 ", 800 
"$50,000 under $75,000",13077," 20,398 ", 508 
"$75,000 under $100,000",13077," 17,056 ", 281 
"$100,000 under $200,000",13077," 27,537 ", 286 
"$200,000 or more",13077," 18,055 ", 43 
,,,
,13078," 294,766 "," 4,450 "
"Under $10,000",13078, 418 , 813 
"$10,000 under $25,000",13078," 3,316 ", 605 
"$25,000 under $50,000",13078," 15,202 ", 765 
"$50,000 under $75,000",13078," 22,392 ", 565 
"$75,000 under $100,000",13078," 28,752 ", 480 
"$100,000 under $200,000",13078," 74,425 ", 758 
"$200,000 or more",13078," 150,262 ", 464 
,,,
,13080," 49,845 "," 1,768 "
"Under $10,000",13080, 93 , 331 
"$10,000 under $25,000",13080," 1,995 ", 387 
"$25,000 under $50,000",13080," 8,503 ", 434 
"$50,000 under $75,000",13080," 10,576 ", 261 
"$75,000 under $100,000",13080," 10,492 ", 177 
"$100,000 under $200,000",13080," 18,185 ", 168 
"$200,000 or more",13080, -   , 10 
,,,
,13081," 19,174 ", 554 
"Under $10,000",13081, 25 , 111 
"$10,000 under $25,000",13081, 514 , 109 
"$25,000 under $50,000",13081," 2,326 ", 124 
"$50,000 under $75,000",13081," 4,084 ", 97 
"$75,000 under $100,000",13081," 2,966 ", 49 
"$100,000 under $200,000",13081," 4,977 ", 52 
"$200,000 or more",13081," 4,282 ", 12 
,,,
,13082," 65,892 "," 2,348 "
"Under $10,000",13082, 135 , 426 
"$10,000 under $25,000",13082," 2,743 ", 507 
"$25,000 under $50,000",13082," 11,890 ", 586 
"$50,000 under $75,000",13082," 15,140 ", 373 
"$75,000 under $100,000",13082," 15,079 ", 251 
"$100,000 under $200,000",13082," 17,991 ", 191 
"$200,000 or more",13082," 2,914 ", 14 
,,,
,13083," 19,980 ", 792 
"Under $10,000",13083, 39 , 146 
"$10,000 under $25,000",13083, 928 , 182 
"$25,000 under $50,000",13083," 3,618 ", 197 
"$50,000 under $75,000",13083," 5,464 ", 139 
"$75,000 under $100,000",13083," 4,567 ", 76 
"$100,000 under $200,000",13083," 5,364 ", 52 
"$200,000 or more",13083, . , * 
,,,
,13084," 96,386 "," 2,258 "
"Under $10,000",13084, 145 , 398 
"$10,000 under $25,000",13084," 2,146 ", 361 
"$25,000 under $50,000",13084," 10,973 ", 541 
"$50,000 under $75,000",13084," 15,160 ", 372 
"$75,000 under $100,000",13084," 13,533 ", 220 
"$100,000 under $200,000",13084," 28,932 ", 295 
"$200,000 or more",13084," 25,498 ", 71 
,,,
,13088," 367,444 "," 11,916 "
"Under $10,000",13088, 509 ," 1,875 "
"$10,000 under $25,000",13088," 15,342 "," 2,599 "
"$25,000 under $50,000",13088," 74,109 "," 3,384 "
"$50,000 under $75,000",13088," 81,538 "," 1,927 "
"$75,000 under $100,000",13088," 66,566 "," 1,066 "
"$100,000 under $200,000",13088," 93,217 ", 964 
"$200,000 or more",13088," 36,164 ", 101 
,,,
,13090," 557,880 "," 15,076 "
"Under $10,000",13090, 929 ," 2,644 "
"$10,000 under $25,000",13090," 15,678 "," 2,603 "
"$25,000 under $50,000",13090," 73,295 "," 3,425 "
"$50,000 under $75,000",13090," 95,775 "," 2,343 "
"$75,000 under $100,000",13090," 107,123 "," 1,760 "
"$100,000 under $200,000",13090," 199,087 "," 2,070 "
"$200,000 or more",13090," 65,992 ", 231 
,,,
,13092," 29,856 "," 1,130 "
"Under $10,000",13092, 36 , 196 
"$10,000 under $25,000",13092," 1,340 ", 271 
"$25,000 under $50,000",13092," 6,046 ", 300 
"$50,000 under $75,000",13092," 7,606 ", 183 
"$75,000 under $100,000",13092," 6,179 ", 99 
"$100,000 under $200,000",13092," 8,649 ", 71 
"$200,000 or more",13092, -   , 10 
,,,
,13101," 29,900 "," 1,216 "
"Under $10,000",13101, 65 , 212 
"$10,000 under $25,000",13101," 1,814 ", 320 
"$25,000 under $50,000",13101," 7,035 ", 350 
"$50,000 under $75,000",13101," 7,012 ", 176 
"$75,000 under $100,000",13101," 5,813 ", 96 
"$100,000 under $200,000",13101," 8,161 ", 62 
"$200,000 or more",13101, . , * 
,,,
,13104," 596,569 "," 7,629 "
"Under $10,000",13104, 614 ," 1,545 "
"$10,000 under $25,000",13104," 5,736 ", 985 
"$25,000 under $50,000",13104," 23,555 "," 1,149 "
"$50,000 under $75,000",13104," 33,421 ", 857 
"$75,000 under $100,000",13104," 40,200 ", 705 
"$100,000 under $200,000",13104," 153,628 "," 1,542 "
"$200,000 or more",13104," 339,414 ", 846 
,,,
,13108," 129,206 "," 3,108 "
"Under $10,000",13108, 178 , 604 
"$10,000 under $25,000",13108," 2,735 ", 497 
"$25,000 under $50,000",13108," 12,218 ", 605 
"$50,000 under $75,000",13108," 18,184 ", 460 
"$75,000 under $100,000",13108," 22,225 ", 370 
"$100,000 under $200,000",13108," 46,795 ", 490 
"$200,000 or more",13108," 26,872 ", 82 
,,,
,13110," 40,742 "," 1,164 "
"Under $10,000",13110, 56 , 207 
"$10,000 under $25,000",13110, 981 , 192 
"$25,000 under $50,000",13110," 5,506 ", 271 
"$50,000 under $75,000",13110," 8,058 ", 201 
"$75,000 under $100,000",13110," 8,106 ", 132 
"$100,000 under $200,000",13110," 12,484 ", 138 
"$200,000 or more",13110," 5,550 ", 23 
,,,
,13111," 14,594 ", 732 
"Under $10,000",13111, 35 , 155 
"$10,000 under $25,000",13111, 732 , 177 
"$25,000 under $50,000",13111," 4,061 ", 213 
"$50,000 under $75,000",13111," 4,238 ", 109 
"$75,000 under $100,000",13111," 3,054 ", 51 
"$100,000 under $200,000",13111," 2,475 ", 27 
"$200,000 or more",13111, . , * 
,,,
,13112," 29,846 ", 930 
"Under $10,000",13112, 30 , 179 
"$10,000 under $25,000",13112, 992 , 180 
"$25,000 under $50,000",13112," 3,848 ", 193 
"$50,000 under $75,000",13112," 5,769 ", 147 
"$75,000 under $100,000",13112," 6,745 ", 113 
"$100,000 under $200,000",13112," 12,463 ", 118 
"$200,000 or more",13112, . , * 
,,,
,13114," 84,181 "," 2,970 "
"Under $10,000",13114, 131 , 541 
"$10,000 under $25,000",13114," 3,141 ", 660 
"$25,000 under $50,000",13114," 14,258 ", 735 
"$50,000 under $75,000",13114," 17,854 ", 448 
"$75,000 under $100,000",13114," 16,490 ", 271 
"$100,000 under $200,000",13114," 28,042 ", 297 
"$200,000 or more",13114," 4,264 ", 18 
,,,
,13116," 52,596 "," 1,711 "
"Under $10,000",13116, 96 , 297 
"$10,000 under $25,000",13116," 1,935 ", 347 
"$25,000 under $50,000",13116," 8,754 ", 410 
"$50,000 under $75,000",13116," 11,268 ", 272 
